query_id,customer_id,query_date,topic,message,resolved,escalated
QRY-0A30CF88,CUST-2EC15E12,2025-03-02,Are,Are mental health sessions reimbursable? This is quite urgent for me.,True,False
QRY-69FDFD2C,CUST-D42573E2,2025-02-17,Are,Are alternative medical treatments covered? Please respond at the earliest.,False,False
QRY-06ACF850,CUST-01E95AE8,2025-01-06,Can,Can I add my spouse to my insurance plan? I would appreciate your prompt response. I require a prompt resolution.,False,True
QRY-E5D0E055,CUST-DEA89F75,2025-02-23,How,How often can I update my policy details? Kindly provide an update. I require a prompt resolution.,False,True
QRY-AA2BE78C,CUST-F9ADDEC9,2025-04-29,Is,Is accidental death covered under my plan? Please clarify this issue. Please escalate this matter immediately!,False,True
QRY-6CF47983,CUST-C7E73EFD,2025-01-21,What,What are the terms for policy renewal? Please clarify this issue.,False,False
QRY-4E2B1057,CUST-1FAC1944,2025-01-07,Is,Is my policy valid if I relocate to another city? Kindly provide an update. Urgent: Please respond as soon as possible.,False,True
QRY-D2E3A036,CUST-9163C111,2025-02-18,How,How do I get help with claim submission? I would appreciate your prompt response. Urgent: Please respond as soon as possible.,False,True
QRY-1C4AAF21,CUST-B54212B5,2025-04-18,Are,Are mental health medications covered? I need your help with this. Please treat this with high priority.,True,True
QRY-FF76932F,CUST-293BB386,2025-01-25,How,How long does it take to settle a claim? Please respond at the earliest.,False,False
QRY-5966E484,CUST-778122C0,2025-04-09,Are,Are preventive health screenings included? Could you please assist?,True,False
QRY-375858D6,CUST-36218DC3,2025-02-08,What,"What is the maximum coverage limit for home insurance? I would appreciate your prompt response. This is very urgent, please act fast!",True,True
QRY-81D362E7,CUST-1463958F,2025-03-16,How,How do I add roadside assistance to my policy? I would appreciate your prompt response. Kindly prioritize my request.,True,True
QRY-E96A0DDF,CUST-A88CA5EE,2025-03-20,Are,"Are mental health counseling sessions included? I need your help with this. This matter is critical, awaiting your quick response.",False,True
QRY-5FAAFBA5,CUST-25877E6D,2025-04-05,How,How do I request a copy of my insurance card? I would appreciate your prompt response.,True,False
QRY-03AF5859,CUST-092ABFE8,2025-01-05,How,"How do I submit medical bills for reimbursement? Can you check on this, please?",False,False
QRY-0E143AAC,CUST-A2612C54,2025-05-01,Are,Are dental expenses covered under my policy? I would appreciate your prompt response. Please treat this with high priority.,True,True
QRY-B8F05A9B,CUST-39BB1B35,2025-05-03,Are,"Are alternative medical treatments covered? Can you check on this, please? I am escalating this issue due to its importance.",False,True
QRY-0DF35F84,CUST-0297791E,2025-05-07,How,"How long does it take to receive claim payment? Can you check on this, please?",False,False
QRY-6C13674B,CUST-EDC9591A,2025-05-11,What’s,What’s the difference between comprehensive and third-party insurance? This is quite urgent for me. Please escalate this matter immediately!,True,True
QRY-A7D832F7,CUST-23C7F5FB,2025-04-28,Can,Can I add flood coverage to my home policy? This is quite urgent for me.,False,False
QRY-FC28A94C,CUST-B57FC8B4,2025-01-23,Are,Are preventive health screenings included? Could you please assist?,True,False
QRY-793E23C5,CUST-DB06A2DC,2025-03-16,How,How do I check my policy renewal status? This requires immediate attention. I am escalating this issue due to its importance.,True,True
QRY-4B29CB6E,CUST-4DCE41E6,2025-03-13,Is,Is accidental death covered under my plan? Please clarify this issue. Please escalate this matter immediately!,True,True
QRY-8152B600,CUST-7560C68C,2025-02-09,Are,Are vaccinations covered under health insurance? This requires immediate attention.,True,False
QRY-6FFF9381,CUST-BDC25489,2025-05-16,How,How do I report damage caused by natural disasters? Looking forward to your reply. Please treat this with high priority.,False,True
QRY-E28A9AE1,CUST-D2A6E3EF,2025-03-10,How,How do I update my mailing address? I would appreciate your prompt response.,False,False
QRY-E892A7EC,CUST-3F409D95,2025-01-17,How,How do I check if my claim needs more documents? Could you please assist?,False,False
QRY-468A9FB9,CUST-470236FF,2025-04-11,How,"How do I check the status of my claim? Can you check on this, please? Kindly prioritize my request.",True,True
QRY-3BA7E235,CUST-D21E27E8,2025-05-17,How,"How do I check if my claim is approved? Can you check on this, please? Kindly prioritize my request.",True,True
QRY-B8AC2A05,CUST-B129E407,2025-03-24,How,How do I dispute a denied claim? I need your help with this. I require a prompt resolution.,True,True
QRY-04A2227B,CUST-B5271C03,2025-04-12,How,How do I get a replacement insurance card? This requires immediate attention. I am escalating this issue due to its importance.,False,True
QRY-D8CAED66,CUST-A0CB53EB,2025-05-12,Can,Can I renew my policy online? Kindly provide an update.,True,False
QRY-E4066446,CUST-860C6D6B,2025-04-24,How,"How long does claim settlement usually take? Please clarify this issue. This is very urgent, please act fast!",False,True
QRY-1B365172,CUST-DA1D9C99,2025-03-26,Can,Can I increase my coverage limits? I need your help with this. Immediate assistance is needed.,False,True
QRY-FA942475,CUST-C3BD5EEC,2025-02-22,Is,Is my policy valid if I relocate to another city? Kindly provide an update.,False,False
QRY-131C6EB6,CUST-C9D78AE4,2025-03-30,How,"How do I check the status of my claim? Can you check on this, please? I require a prompt resolution.",False,True
QRY-AFCC0211,CUST-451917AF,2025-04-08,Are,Are mental health medications covered by insurance? I would appreciate your prompt response.,True,False
QRY-0FFCFDC2,CUST-818B2CB1,2025-04-09,How,How do I check if my claim is approved? Could you please assist?,False,False
QRY-9D177A9D,CUST-4A5C1CBE,2025-02-22,Can,Can I add child coverage to life insurance? I need your help with this. I require a prompt resolution.,True,True
QRY-0737CEE2,CUST-D1C8B231,2025-03-19,What,What are the terms for policy renewal? Kindly provide an update.,True,False
QRY-E5E3AFFB,CUST-4417E4C7,2025-04-07,Are,Are prescription medications covered? Please clarify this issue. Immediate assistance is needed.,True,True
QRY-8FC40F83,CUST-66BA6984,2025-05-18,How,"How do I submit medical bills for reimbursement? Can you check on this, please? Urgent: Please respond as soon as possible.",False,True
QRY-04099311,CUST-99BCF395,2025-03-21,What,What is the maximum claim amount for medical expenses? Please respond at the earliest.,False,False
QRY-C94AAE0D,CUST-ED517D0A,2025-03-05,How,How do I add coverage for home security systems? I need your help with this. Urgent: Please respond as soon as possible.,False,True
QRY-C1324477,CUST-244A4430,2025-01-20,How,How do I request a copy of my insurance card? This is quite urgent for me. I require a prompt resolution.,False,True
QRY-DE87A112,CUST-81EF2F66,2025-03-19,Can,Can I get coverage for dental surgeries? I would appreciate your prompt response. Please escalate this matter immediately!,True,True
QRY-8DB6BC56,CUST-42B1E97D,2025-01-07,Can,Can I get coverage for pre-existing conditions? Please respond at the earliest. Please treat this with high priority.,False,True
QRY-D47E2CF9,CUST-614ACCAA,2025-03-23,What,What is the maximum claim amount for medical expenses? I need your help with this.,True,False
QRY-2F4CFE96,CUST-06424E19,2025-04-29,Are,Are prescription medications covered? This requires immediate attention.,True,False
QRY-8CDCB487,CUST-2DAAC128,2025-05-12,How,How do I update my beneficiary details? Looking forward to your reply.,False,False
QRY-FEBA8612,CUST-00AA54A2,2025-02-09,How,"How do I file a claim for theft during travel? Kindly provide an update. This is very urgent, please act fast!",True,True
QRY-9300CE2A,CUST-8BA2BFC8,2025-02-22,Can,Can I add coverage for my pet under home insurance? Kindly provide an update.,True,False
QRY-0F6D0D62,CUST-DB4BBCEE,2025-04-04,Are,Are mental health medications covered? Could you please assist?,True,False
QRY-2389CCC6,CUST-60445FE1,2025-05-24,What,What happens if I miss a premium payment? Looking forward to your reply.,False,False
QRY-EE0107D5,CUST-D06FDF4B,2025-03-30,What,What is the maximum coverage limit for home insurance? This requires immediate attention.,False,False
QRY-E78D37E9,CUST-91FE6B24,2025-01-30,Can,Can I get a refund if I cancel early? Kindly provide an update.,False,False
QRY-743C6873,CUST-478FED47,2025-05-02,Can,Can I add a new vehicle to my auto insurance? This requires immediate attention.,False,False
QRY-1E1D0296,CUST-BE6821FF,2025-03-21,What,What is the process for filing a theft claim? Could you please assist?,True,False
QRY-C82E2E6E,CUST-52497725,2025-02-01,How,How do I add a second driver to my vehicle insurance? Kindly provide an update. I am escalating this issue due to its importance.,False,True
QRY-53E1ABA4,CUST-2ED2DDF0,2025-03-05,Are,"Are mental health medications covered? Can you check on this, please?",False,False
QRY-D2708BBB,CUST-6A7AE392,2025-01-20,Can,Can I get roadside assistance internationally? I need your help with this.,False,False
QRY-89627299,CUST-E6FE6256,2025-01-08,How,How do I update my beneficiary details? This requires immediate attention.,False,False
QRY-F0643C99,CUST-C3406CA0,2025-04-29,What,What is covered under my auto insurance policy? Looking forward to your reply.,False,False
QRY-F6A31F48,CUST-C50B6014,2025-04-27,How,"How do I add coverage for home renovations? Can you check on this, please? Urgent: Please respond as soon as possible.",False,True
QRY-A76E9A79,CUST-D5E3B894,2025-01-16,Are,Are cosmetic surgeries covered? Looking forward to your reply.,False,False
QRY-3E4A48E6,CUST-7C284D6B,2025-03-17,Can,Can I get insurance for rental properties? I need your help with this.,False,False
QRY-67999F51,CUST-1F838E88,2025-02-14,What,What is the cancellation policy for travel insurance? I would appreciate your prompt response. I require a prompt resolution.,True,True
QRY-FCAFD304,CUST-EEDFE628,2025-01-18,Can,Can I get a refund if I cancel early? Please clarify this issue.,False,False
QRY-F2310C2E,CUST-973AAD59,2025-04-29,Is,Is mental health treatment covered by my insurance? Please respond at the earliest. Please escalate this matter immediately!,True,True
QRY-164FD4AB,CUST-EED69E89,2025-03-12,What,What is the process for claiming disability benefits? Please clarify this issue.,False,False
QRY-7ECC8DF9,CUST-91A92C8D,2025-05-22,How,How do I submit medical bills for reimbursement? This is quite urgent for me. This issue needs urgent attention!,True,True
QRY-AE747280,CUST-952DDAAA,2025-05-10,Can,Can I increase my coverage after purchasing a policy? Please respond at the earliest. Immediate assistance is needed.,False,True
QRY-215CF8DD,CUST-0038E8B3,2025-02-13,What,What documents do I need to renew my insurance? This is quite urgent for me. I am escalating this issue due to its importance.,True,True
QRY-A8D42AFF,CUST-297F1743,2025-02-11,How,How do I update my beneficiary details? Please respond at the earliest. Please escalate this matter immediately!,False,True
QRY-36DBE3BD,CUST-58334AF2,2025-03-26,Can,Can I get coverage for trip cancellations? This requires immediate attention. Immediate assistance is needed.,False,True
QRY-73C308B0,CUST-9436B057,2025-03-25,What,"What is the process for filing a theft claim? Kindly provide an update. This matter is critical, awaiting your quick response.",False,True
QRY-2595184F,CUST-1A89A337,2025-01-13,Can,"Can I renew my travel insurance while abroad? This requires immediate attention. This is very urgent, please act fast!",False,True
QRY-AE222AB2,CUST-7C8F5696,2025-02-18,There,There is an error in my policy document; please assist. I need your help with this.,True,False
QRY-27786323,CUST-3CF60A4D,2025-01-16,What,What is the process for claiming disability benefits? Please clarify this issue. Please escalate this matter immediately!,False,True
QRY-3B46B135,CUST-A8EC6847,2025-01-05,Can,Can I get coverage for accidental injuries? Kindly provide an update.,False,False
QRY-CDA0D041,CUST-0AD5D8B8,2025-04-29,Is,Is coverage included for damage due to earthquakes? This requires immediate attention. I am escalating this issue due to its importance.,False,True
QRY-A755C4B0,CUST-72C4C534,2025-01-03,Can,"Can I cancel my insurance policy via the app? Could you please assist? This matter is critical, awaiting your quick response.",False,True
QRY-54B0E7C3,CUST-F38980BE,2025-03-03,How,How do I update my contact number in policy documents? I would appreciate your prompt response. Kindly prioritize my request.,False,True
QRY-E4A630E2,CUST-113C0561,2025-02-26,What,What is the process to renew my health insurance? Please respond at the earliest.,False,False
QRY-0927E909,CUST-18525393,2025-02-15,Can,Can I get a refund if I cancel my policy early? Looking forward to your reply. Please escalate this matter immediately!,False,True
QRY-8BAFAF86,CUST-9B56290F,2025-05-22,What,What is the grace period for policy renewal? Please respond at the earliest.,False,False
QRY-5EF679C8,CUST-CDFD200D,2025-03-12,What,What is the grace period after premium due date? I would appreciate your prompt response. I require a prompt resolution.,False,True
QRY-5E761C9E,CUST-9C10ECA5,2025-03-31,What,What is the procedure for filing a flood damage claim? I would appreciate your prompt response. I am escalating this issue due to its importance.,True,True
QRY-AEBF33FD,CUST-FA4CEAB2,2025-04-09,Can,Can I file claims online through the app? I would appreciate your prompt response.,False,False
QRY-50C5EFA3,CUST-8663CB0C,2025-03-01,How,How do I check if my claim is approved? This is quite urgent for me.,True,False
QRY-FF43DAD7,CUST-3B297C9D,2025-04-24,Are,"Are dental treatments covered under my health plan? Can you check on this, please?",True,False
QRY-87C17E61,CUST-8436F84A,2025-01-21,What,"What is the procedure for filing a fire claim? Can you check on this, please?",False,False
QRY-526E4302,CUST-156162A6,2025-05-01,What,What is the cancellation policy for travel insurance? Please respond at the earliest. Please escalate this matter immediately!,False,True
QRY-F2633171,CUST-BB672D20,2025-03-15,How,"How do I check if my claim needs more documents? Can you check on this, please? This is very urgent, please act fast!",False,True
QRY-5B3D0A0E,CUST-F3F72AE1,2025-03-21,How,"How do I file a water damage claim? Could you please assist? This is very urgent, please act fast!",False,True
QRY-CC2082D3,CUST-D5650BF7,2025-04-18,How,How do I get reimbursed for medical bills? Please clarify this issue.,True,False
QRY-E5E7E675,CUST-22A5A903,2025-01-12,Can,Can I add a spouse to my health insurance? I need your help with this.,True,False
QRY-1EF86DB2,CUST-6704A9D3,2025-03-19,Are,Are preventive health screenings included? Kindly provide an update. Please treat this with high priority.,True,True
QRY-DA0B2D0E,CUST-1C48F738,2025-03-14,How,How do I file a claim for lost luggage? This requires immediate attention. Kindly prioritize my request.,False,True
QRY-DC591056,CUST-C162A63F,2025-05-20,How,How do I check if my claim is under review? I need your help with this. Kindly prioritize my request.,True,True
QRY-16F369BF,CUST-7DA8893B,2025-04-15,How,How do I report a theft claim? Looking forward to your reply.,True,False
QRY-B1D48A3F,CUST-A226AD36,2025-05-14,Are,Are preventive health screenings included? Could you please assist?,False,False
QRY-0F2A2367,CUST-DF2AE26B,2025-05-03,How,How do I file a claim for rental reimbursement? This requires immediate attention.,True,False
QRY-0DA34296,CUST-6DB9DB83,2025-03-07,Can,Can I insure valuables like jewelry separately? I need your help with this.,True,False
QRY-3A755391,CUST-4E5D439D,2025-03-23,How,How do I get reimbursed for medical bills? This requires immediate attention. Please treat this with high priority.,True,True
QRY-80EEEACE,CUST-9653C6D2,2025-02-12,What,What is the waiting period for life insurance claims? I need your help with this.,False,False
QRY-59DA9374,CUST-B5F60EA3,2025-02-19,Can,Can I get a refund if I cancel early? Kindly provide an update.,False,False
QRY-4AD1C7D5,CUST-04ADC893,2025-02-12,How,How do I file a claim for stolen property? Please respond at the earliest.,True,False
QRY-01D6162F,CUST-5A5BD7E1,2025-02-23,How,How do I update my beneficiary details? This is quite urgent for me. This issue needs urgent attention!,True,True
QRY-D2F69EEB,CUST-DEE01550,2025-02-10,Can,Can I insure my rental property? I need your help with this.,True,False
QRY-76E7C7AE,CUST-059ADCB4,2025-04-27,Can,Can I add a newborn to my family health insurance? This requires immediate attention.,True,False
QRY-13C63CF9,CUST-FEF5760C,2025-02-12,Are,Are mental health medications covered? This is quite urgent for me.,False,False
QRY-2126B7F1,CUST-9C28AE7F,2025-05-08,How,"How do I report damage caused by fire? Can you check on this, please?",False,False
QRY-1AACF333,CUST-E95D24F2,2025-01-13,How,"How do I file a claim for emergency surgery? Can you check on this, please?",True,False
QRY-B817609A,CUST-9C2A6813,2025-05-06,How,How do I change payment frequency? I need your help with this.,True,False
QRY-DA7780F1,CUST-8DC5723B,2025-02-24,Are,Are there any age limits on life insurance policies? This is quite urgent for me. Please treat this with high priority.,False,True
QRY-12B86F48,CUST-CDFBDFDD,2025-01-19,Are,Are outpatient prescription drugs covered? I would appreciate your prompt response.,False,False
QRY-F1E89206,CUST-BD9F5019,2025-04-13,What,What is the cancellation policy for travel insurance? Kindly provide an update. I require a prompt resolution.,True,True
QRY-B660E0BA,CUST-94E1F2AE,2025-04-14,Can,"Can I get roadside assistance internationally? Please respond at the earliest. This matter is critical, awaiting your quick response.",False,True
QRY-D0FA54B1,CUST-43783E38,2025-04-21,What,What is the process to renew my health insurance? Kindly provide an update. Please treat this with high priority.,False,True
QRY-7C52EF75,CUST-3972F362,2025-05-17,Is,Is accidental death covered under my plan? I would appreciate your prompt response.,False,False
QRY-B163ACB6,CUST-600BC593,2025-02-01,How,"How do I apply for travel insurance online? Can you check on this, please? This is very urgent, please act fast!",False,True
QRY-2952F6C0,CUST-86276E8C,2025-03-18,How,How do I file a claim for theft during travel? I need your help with this.,False,False
QRY-B24AEF5F,CUST-C4047C7D,2025-05-16,How,How do I change my insurance agent? I need your help with this.,False,False
QRY-D8C1CA36,CUST-03F9FCC3,2025-04-15,What,What is the process for claiming disability benefits? Kindly provide an update. I am escalating this issue due to its importance.,False,True
QRY-B668BDD2,CUST-CEDCB9E5,2025-04-29,Is,Is theft covered under my auto insurance? I would appreciate your prompt response.,True,False
QRY-C6CD5069,CUST-18E0575D,2025-01-14,What,"What is the process for making a medical insurance claim? Please respond at the earliest. This is very urgent, please act fast!",False,True
QRY-F161AB12,CUST-5970AB13,2025-02-02,Can,Can I get a policy with no waiting period? Please respond at the earliest. I am escalating this issue due to its importance.,False,True
